album_id,album_name,album_type,release_date,total_tracks,spotify_url
11Nhi9MkGECwMUpCsgDvjB,Madharaasi (Original Background Score),album,2025-11-27,19,https://open.spotify.com/album/11Nhi9MkGECwMUpCsgDvjB
1a9a3Uyha5jD4ZFtEq1gTu,Ultimate Mass Songs - Anirudh Ravichander,album,2025-09-19,14,https://open.spotify.com/album/1a9a3Uyha5jD4ZFtEq1gTu
6CTbls9sI4TkhUUfuEjept,Anirudh x Sun Pictures - Powerhouse Hits,album,2025-09-19,12,https://open.spotify.com/album/6CTbls9sI4TkhUUfuEjept
3cUOrVPYaP7rq8PrpliN5k,The Ba***ds Of Bollywood,album,2025-09-16,13,https://open.spotify.com/album/3cUOrVPYaP7rq8PrpliN5k
2xSjbEyF1GTL6hJdvvvfd8,Coolie (Original Background Score),album,2025-09-10,21,https://open.spotify.com/album/2xSjbEyF1GTL6hJdvvvfd8
20aDkzgpXh9nLs1f3BDeqY,Madharaasi (Original Motion Picture Soundtrack) (Malayalam),album,2025-09-05,9,https://open.spotify.com/album/20aDkzgpXh9nLs1f3BDeqY
0ckvN5iUMSwSNzz5PF3rnB,Madharaasi (Original Motion Picture Soundtrack) (Kannada),album,2025-09-05,9,https://open.spotify.com/album/0ckvN5iUMSwSNzz5PF3rnB
0dDLAJk4nXXxXZxl0F1W7z,Madharaasi (Original Motion Picture Soundtrack) (Telugu),album,2025-08-30,9,https://open.spotify.com/album/0dDLAJk4nXXxXZxl0F1W7z
1REI2pjvJnuFtRYBAZyjaT,Dil Madharaasi (Original Motion Picture Soundtrack),album,2025-08-30,9,https://open.spotify.com/album/1REI2pjvJnuFtRYBAZyjaT
7HUzJeQvFdJDWueJi6pofV,Madharaasi (Original Motion Picture Soundtrack),album,2025-08-27,9,https://open.spotify.com/album/7HUzJeQvFdJDWueJi6pofV
